wave_id,step,truth_definition,respondent,actual_top_broker,actual_top_betweenness,perceived_rank_of_actual_top_broker,bridge_top1_hit,bridge_top3_hit,bridge_mean_abs_rank_error,n_ranked,n_expected,n_fail_safe
pre,1800,observed_interaction_recent_betweenness_rank,Tom Moreno,Eddy Lin,0.097274,19,0,0,6.240000,25,25,0
pre,1800,observed_interaction_recent_betweenness_rank,Wolfgang Schulz,Eddy Lin,0.097274,19,0,0,6.880000,25,25,0
pre,1800,observed_interaction_recent_betweenness_rank,Yuriko Yamamoto,Eddy Lin,0.097274,21,0,0,7.760000,25,25,0
pre,1800,observed_interaction_recent_betweenness_rank,__overall__,Eddy Lin,0.097274,11.120000,0.040000,0.120000,6.601600,25.000000,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Abigail Chen,Jane Moreno,0.167710,12,0,0,7.840000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Adam Smith,Jane Moreno,0.167710,12,0,0,6.320000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Arthur Burton,Jane Moreno,0.167710,10,0,0,6.880000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Ayesha Khan,Jane Moreno,0.167710,4,0,0,6.960000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Carlos Gomez,Jane Moreno,0.167710,5,0,0,6.640000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Carmen Ortiz,Jane Moreno,0.167710,3,0,1,7.680000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Eddy Lin,Jane Moreno,0.167710,11,0,0,5.440000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Francisco Lopez,Jane Moreno,0.167710,11,0,0,7.760000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Giorgio Rossi,Jane Moreno,0.167710,9,0,0,5.040000,25,25,0
post,3000,observed_interaction_cumulative_betweenness_rank,Hailey Johnson,Jane Moreno,0.167710,7,0,0,6.480000,25,25,0
