wave_id,step,truth_layer,truth_file,respondent,tp,fp,fn,tn,precision,recall,fpr,fnr,pair_accuracy,n_fail_safe,n_pairs_evaluated
post,3300,observed_interaction_recent,ground_truth/ground_truth_edges_3300.csv,Jennifer Moore,41,135,10,114,0.232955,0.803922,0.542169,0.196078,0.516667,0,300
post,3300,observed_interaction_recent,ground_truth/ground_truth_edges_3300.csv,John Lin,45,215,6,34,0.173077,0.882353,0.863454,0.117647,0.263333,0,300
post,3300,observed_interaction_recent,ground_truth/ground_truth_edges_3300.csv,Klaus Mueller,32,164,19,85,0.163265,0.627451,0.658635,0.372549,0.390000,0,300
post,3300,observed_interaction_recent,ground_truth/ground_truth_edges_3300.csv,Latoya Williams,25,106,26,143,0.190840,0.490196,0.425703,0.509804,0.560000,0,300
post,3300,observed_interaction_recent,ground_truth/ground_truth_edges_3300.csv,Maria Lopez,7,22,44,227,0.241379,0.137255,0.088353,0.862745,0.780000,0,300
post,3300,observed_interaction_recent,ground_truth/ground_truth_edges_3300.csv,Mei Lin,34,170,17,79,0.166667,0.666667,0.682731,0.333333,0.376667,0,300
post,3300,observed_interaction_recent,ground_truth/ground_truth_edges_3300.csv,Rajiv Patel,30,105,21,144,0.222222,0.588235,0.421687,0.411765,0.580000,0,300
post,3300,observed_interaction_recent,ground_truth/ground_truth_edges_3300.csv,Ryan Park,41,162,10,87,0.201970,0.803922,0.650602,0.196078,0.426667,0,300
post,3300,observed_interaction_recent,ground_truth/ground_truth_edges_3300.csv,Sam Moore,47,180,4,69,0.207048,0.921569,0.722892,0.078431,0.386667,0,300
post,3300,observed_interaction_recent,ground_truth/ground_truth_edges_3300.csv,Tamara Taylor,2,24,49,225,0.076923,0.039216,0.096386,0.960784,0.756667,0,300
post,3300,observed_interaction_recent,ground_truth/ground_truth_edges_3300.csv,Tom Moreno,36,177,15,72,0.169014,0.705882,0.710843,0.294118,0.360000,0,300
post,3300,observed_interaction_recent,ground_truth/ground_truth_edges_3300.csv,Wolfgang Schulz,1,14,50,235,0.066667,0.019608,0.056225,0.980392,0.786667,0,300
post,3300,observed_interaction_recent,ground_truth/ground_truth_edges_3300.csv,Yuriko Yamamoto,2,51,49,198,0.037736,0.039216,0.204819,0.960784,0.666667,0,300
