wave_id,step,truth_layer,truth_file,respondent,tp,fp,fn,tn,precision,recall,fpr,fnr,pair_accuracy,n_fail_safe,n_pairs_evaluated
post,1950,observed_interaction,ground_truth/ground_truth_edges_1950.csv,Hailey Johnson,20,106,30,144,0.158730,0.400000,0.424000,0.600000,0.546667,0,300
post,1950,observed_interaction,ground_truth/ground_truth_edges_1950.csv,Isabella Rodriguez,37,180,13,70,0.170507,0.740000,0.720000,0.260000,0.356667,0,300
post,1950,observed_interaction,ground_truth/ground_truth_edges_1950.csv,Jane Moreno,33,155,17,95,0.175532,0.660000,0.620000,0.340000,0.426667,0,300
post,1950,observed_interaction,ground_truth/ground_truth_edges_1950.csv,Jennifer Moore,33,131,16,119,0.201220,0.673469,0.524000,0.326531,0.508361,0,299
post,1950,observed_interaction,ground_truth/ground_truth_edges_1950.csv,John Lin,43,213,7,37,0.167969,0.860000,0.852000,0.140000,0.266667,24,300
post,1950,observed_interaction,ground_truth/ground_truth_edges_1950.csv,Klaus Mueller,26,82,24,168,0.240741,0.520000,0.328000,0.480000,0.646667,0,300
post,1950,observed_interaction,ground_truth/ground_truth_edges_1950.csv,Latoya Williams,23,95,27,155,0.194915,0.460000,0.380000,0.540000,0.593333,24,300
post,1950,observed_interaction,ground_truth/ground_truth_edges_1950.csv,Maria Lopez,8,21,42,229,0.275862,0.160000,0.084000,0.840000,0.790000,0,300
post,1950,observed_interaction,ground_truth/ground_truth_edges_1950.csv,Mei Lin,32,130,18,120,0.197531,0.640000,0.520000,0.360000,0.506667,0,300
post,1950,observed_interaction,ground_truth/ground_truth_edges_1950.csv,Rajiv Patel,20,89,30,161,0.183486,0.400000,0.356000,0.600000,0.603333,0,300
post,1950,observed_interaction,ground_truth/ground_truth_edges_1950.csv,Ryan Park,29,170,21,80,0.145729,0.580000,0.680000,0.420000,0.363333,0,300
