wave_id,step,truth_definition,respondent,n_perceived_groups,n_actual_groups,nmi,ari,n_agents_placed,n_expected,n_fail_safe
post,1950,observed_interaction_louvain_communities,Isabella Rodriguez,3,8,0.361912,0.110032,25,25,0
post,1950,observed_interaction_louvain_communities,Jane Moreno,5,8,0.427186,0.097561,25,25,0
post,1950,observed_interaction_louvain_communities,Jennifer Moore,5,8,0.415079,0.083770,25,25,0
post,1950,observed_interaction_louvain_communities,John Lin,5,8,0.353998,0.009009,25,25,0
post,1950,observed_interaction_louvain_communities,Klaus Mueller,2,8,0.158315,-0.022126,25,25,0
post,1950,observed_interaction_louvain_communities,Latoya Williams,5,8,0.439582,0.097383,25,25,0
post,1950,observed_interaction_louvain_communities,Maria Lopez,2,8,0.094561,-0.012461,25,25,0
post,1950,observed_interaction_louvain_communities,Mei Lin,2,8,0.126259,-0.000548,25,25,0
post,1950,observed_interaction_louvain_communities,Rajiv Patel,2,8,0.205190,0.050024,25,25,0
post,1950,observed_interaction_louvain_communities,Ryan Park,7,8,0.356617,-0.048679,25,25,0
post,1950,observed_interaction_louvain_communities,Sam Moore,3,8,0.118960,-0.047830,25,25,0
post,1950,observed_interaction_louvain_communities,Tamara Taylor,3,8,0.334826,0.083690,25,25,0
post,1950,observed_interaction_louvain_communities,Tom Moreno,2,8,0.172549,-0.031637,25,25,0
post,1950,observed_interaction_louvain_communities,Wolfgang Schulz,3,8,0.155677,-0.018492,25,25,0
post,1950,observed_interaction_louvain_communities,Yuriko Yamamoto,4,8,0.363341,0.047619,25,25,0
post,1950,observed_interaction_louvain_communities,__overall__,3.440000,8,0.295410,0.042564,25.000000,25,0
post,1950,observed_interaction_recent_louvain_communities,Abigail Chen,5,19,0.586281,0.042611,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Adam Smith,3,19,0.371872,0.026480,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Arthur Burton,5,19,0.605599,0.055143,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Ayesha Khan,2,19,0.288387,0.013871,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Carlos Gomez,2,19,0.288387,0.013871,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Carmen Ortiz,2,19,0.225586,0.011446,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Eddy Lin,4,19,0.379647,-0.008443,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Francisco Lopez,4,19,0.512331,0.029680,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Giorgio Rossi,2,19,0.277110,0.006010,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Hailey Johnson,4,19,0.490821,0.042700,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Isabella Rodriguez,3,19,0.409614,-0.018052,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Jane Moreno,5,19,0.641997,0.074074,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Jennifer Moore,5,19,0.634032,0.068214,25,25,0
post,1950,observed_interaction_recent_louvain_communities,John Lin,5,19,0.582437,0.025157,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Klaus Mueller,2,19,0.308987,0.017568,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Latoya Williams,5,19,0.532099,0.034216,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Maria Lopez,2,19,0.337874,0.024140,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Mei Lin,2,19,0.262981,-0.012202,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Rajiv Patel,2,19,0.340864,0.029126,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Ryan Park,7,19,0.626073,-0.036379,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Sam Moore,3,19,0.332159,0.007652,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Tamara Taylor,3,19,0.394154,0.009097,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Tom Moreno,2,19,0.256122,0.003034,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Wolfgang Schulz,3,19,0.297492,-0.024835,25,25,0
post,1950,observed_interaction_recent_louvain_communities,Yuriko Yamamoto,4,19,0.513607,0.025974,25,25,0
post,1950,observed_interaction_recent_louvain_communities,__overall__,3.440000,19,0.419861,0.018406,25.000000,25,0
