wave_id,step,truth_layer,truth_file,respondent,tp,fp,fn,tn,precision,recall,fpr,fnr,pair_accuracy,n_fail_safe,n_pairs_evaluated
t600,600,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_600.csv,Carlos Gomez,6,13,28,58,0.315789,0.176471,0.183099,0.823529,0.609524,0,105
t600,600,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_600.csv,Francisco Lopez,14,38,20,33,0.269231,0.411765,0.535211,0.588235,0.447619,0,105
t600,600,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_600.csv,Giorgio Rossi,9,18,25,53,0.333333,0.264706,0.253521,0.735294,0.590476,0,105
t600,600,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_600.csv,Hailey Johnson,12,34,22,37,0.260870,0.352941,0.478873,0.647059,0.466667,0,105
t600,600,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_600.csv,Isabella Rodriguez,8,17,26,54,0.320000,0.235294,0.239437,0.764706,0.590476,14,105
t600,600,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_600.csv,Klaus Mueller,6,11,28,60,0.352941,0.176471,0.154930,0.823529,0.628571,0,105
t600,600,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_600.csv,Latoya Williams,14,35,20,36,0.285714,0.411765,0.492958,0.588235,0.476190,0,105
t600,600,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_600.csv,Maria Lopez,5,17,29,53,0.227273,0.147059,0.242857,0.852941,0.557692,28,104
t600,600,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_600.csv,Mei Lin,5,11,29,59,0.312500,0.147059,0.157143,0.852941,0.615385,0,104
t600,600,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_600.csv,Rajiv Patel,13,34,21,37,0.276596,0.382353,0.478873,0.617647,0.476190,0,105
t600,600,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_600.csv,Ryan Park,0,5,34,66,0.000000,0.000000,0.070423,1.000000,0.628571,0,105
t600,600,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_600.csv,Wolfgang Schulz,8,19,26,52,0.296296,0.235294,0.267606,0.764706,0.571429,0,105
t600,600,background_or_interaction,ground_truth/background_social_edges.csv+ground_truth/ground_truth_edges_600.csv,__overall__,127,325,383,738,0.280973,0.249020,0.305738,0.750980,0.549905,42,1573
t1200,1200,observed_interaction,ground_truth/ground_truth_edges_1200.csv,Abigail Chen,10,43,10,42,0.188679,0.500000,0.505882,0.500000,0.495238,0,105
t1200,1200,observed_interaction,ground_truth/ground_truth_edges_1200.csv,Arthur Burton,12,38,8,47,0.240000,0.600000,0.447059,0.400000,0.561905,0,105
t1200,1200,observed_interaction,ground_truth/ground_truth_edges_1200.csv,Ayesha Khan,5,41,15,44,0.108696,0.250000,0.482353,0.750000,0.466667,0,105
t1200,1200,observed_interaction,ground_truth/ground_truth_edges_1200.csv,Carlos Gomez,12,39,8,46,0.235294,0.600000,0.458824,0.400000,0.552381,0,105
t1200,1200,observed_interaction,ground_truth/ground_truth_edges_1200.csv,Francisco Lopez,11,35,9,50,0.239130,0.550000,0.411765,0.450000,0.580952,0,105
t1200,1200,observed_interaction,ground_truth/ground_truth_edges_1200.csv,Giorgio Rossi,8,42,12,43,0.160000,0.400000,0.494118,0.600000,0.485714,0,105
t1200,1200,observed_interaction,ground_truth/ground_truth_edges_1200.csv,Hailey Johnson,14,45,6,40,0.237288,0.700000,0.529412,0.300000,0.514286,0,105
t1200,1200,observed_interaction,ground_truth/ground_truth_edges_1200.csv,Isabella Rodriguez,5,34,15,51,0.128205,0.250000,0.400000,0.750000,0.533333,0,105
t1200,1200,observed_interaction,ground_truth/ground_truth_edges_1200.csv,Klaus Mueller,8,39,12,46,0.170213,0.400000,0.458824,0.600000,0.514286,0,105
t1200,1200,observed_interaction,ground_truth/ground_truth_edges_1200.csv,Latoya Williams,10,32,10,53,0.238095,0.500000,0.376471,0.500000,0.600000,0,105
t1200,1200,observed_interaction,ground_truth/ground_truth_edges_1200.csv,Maria Lopez,3,23,17,62,0.115385,0.150000,0.270588,0.850000,0.619048,14,105
